record_id,company_name,contact_name,title,email,phone,contact_form_url,company_url,source_url,mhlw_source_url,license_number,license_type,city_or_prefecture,specialization,classification,hunter_likelihood,hunter_likelihood_reason,evidence_keywords,verification_status,confidence,source_accessed_at,notes,email_source_url,email_source_text_path,enrichment_status
company-a6ded4a3,ＷＡＧＡＯ 株式会社,,,,011-206-0212,https://www.wagao.co.jp/contact.html,https://www.wagao.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300909%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300909%2C1+++++,01-ユ-300909,有料職業紹介事業,北海道,全行业,recruitment_agency,low,"MHLW license proves paid placement but official site shows main verticals are real estate, telecom sales, and welfare, with no headhunting/executive-search positioning",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Contact form found on official site wagao.co.jp/contact.html (form temporarily stopped due to spam). Company identity confirmed via address, phone (011-206-0212), and license (01-ユ-300909) matching MHLW record. No public email found. source_text_path set to MHLW evidence per retry instructions.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300909%2C1+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-001/company-a6ded4a3-mhlw.txt,agent_contact_form_found
company-9356992b,片山 一幸,,,,090-3890-0365,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300913%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300913%2C1+++++,01-ユ-300913,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW license only confirms paid occupational placement authorization; individual operator (片山一幸 / タビソラ設計舎) with no website or business positioning evidence and no headhunting/recruiting keywords found.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Checked MHLW license page confirming company identity (license 01-ユ-300913, business name タビソラ設計舎, address in Sapporo, mobile phone). Web searches for タビソラ設計舎, 片山一幸, and the phone number returned no business website, email, or contact form. The individual appears to be a sole proprietor with no public-facing recruitment platform. no email or contact form found.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300913%2C1+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-002/company-9356992b-mhlw.txt,agent_not_found
company-7a0a70ca,株式会社 ＳＨＡＲＥ,,,,011-596-0215,https://www.sha-re.jp/contact,https://www.sha-re.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300916%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300916%2C1+++++,01-ユ-300916,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Main business is fitness, rehabilitation, and care services; no headhunting or executive search signals.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: MHLW page confirms identity (company name, phone 011-596-0215, license 01-ユ-300916) and links to official site sha-re.jp. Contact form found at sha-re.jp/contact. Company operates fitness, medical fitness, and care services -- non-headhunter verticals.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300916%2C1+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-003/company-7a0a70ca-mhlw.txt,agent_contact_form_found
company-9dfbb3db,株式会社 ＭＯＫＡ．,,,kushiro-moka-wp@mail.goo.ne.jp,0154-68-4672,,https://www.moka-inc.com,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300919%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300919%2C1+++++,01-ユ-300919,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Official/public evidence is mainly non-headhunter vertical: 介護.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.moka-inc.com,data/runs/20260522-113750/raw/static/company-9dfbb3db-page1-fa6273a026.html,email_found
company-4a827624,浜益特定地域づくり事業協同組合,,,,050-5236-1659,https://www.hama-works.com/contact/,https://www.hama-works.com/life/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300921%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300921%2C1+++++,01-ユ-300921,有料職業紹介事業,北海道,全行业,recruitment_agency,low,No explicit headhunter or recruiting-positioning signal found in available official/public evidence.,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.,https://www.hama-works.com/life/,data/runs/20260522-113750/raw/static/company-4a827624-page1-a67dc9a0a6.html,contact_form_found
company-717ab93c,アサヒ管財 株式会社,,,,0166-32-1300,https://ask-asahikanzai.co.jp/contact/,https://ask-asahikanzai.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300924%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300924%2C1+++++,01-ユ-300924,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Official/public evidence mainly indicates cleaning (清掃) and technical intern (技能実習), which are exclude-listed non-headhunter verticals.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Contact form confirmed at ask-asahikanzai.co.jp/contact/. No publicly published email. Company operates as a cleaning/building maintenance company. MHLW reference URL field confirmed official site ask-asahikanzai.co.jp. Company identity verified: name アサヒ管財 株式会社, phone 0166-32-1300, address in Asahikawa Hokkaido all match.",https://ask-asahikanzai.co.jp/contact/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-004/company-717ab93c-contact.txt,agent_contact_form_found
company-992d741d,ミャンマーフロンティア 株式会社,,,,0154-22-6775,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300929%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300929%2C1+++++,01-ユ-300929,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,MHLW license page shows exclusive focus on welfare/care occupations (福祉･介護) and foreign worker placement from Myanmar,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Company established 2024 in Kushiro, Hokkaido. Thorough web search revealed no official website, no published email, no contact form. gBizINFO confirms no registered homepage. All directory sites show no URL. MHLW evidence confirms company identity via license number 01-ユ-300929, name, address, and phone.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300929%2C1+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-005/company-992d741d-mhlw.txt,agent_not_found
company-69f50bac,株式会社 ＨＯＴサービス,,,,011-350-7292,https://hot-kikaku.com/contact/,https://hot-kikaku.com/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300930%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300930%2C1+++++,01-ユ-300930,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Primary business is cleaning/beautification/building maintenance per B-Mall profile (美装業、清掃業); cleaning is an exclusion signal,有料職業紹介事業; 厚生労働省,mhlw_verified,medium,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: B-Mall (Chamber of Commerce directory) confirms URL hot-kikaku.com for (株)HOTサービス; contact form found on that domain at /contact/. Company mainly operates as house cleaning service (YourMyStar listing), not a headhunter.",https://www.b-mall.ne.jp/CompanyDetail-CZbqCQkqFUcu.html,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-006/company-69f50bac-bmall.txt,agent_contact_form_found
company-e8664d18,有限会社 プログレスＡＩ,,,,011-700-1500,https://www.progress-ai.co.jp/contact.html,https://www.progress-ai.co.jp/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300934%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300934%2C1+++++,01-ユ-300934,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Official site shows main business as environmental products, real estate, and natural water -- non-headhunter verticals with 0 job placements across all recent years.",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Official website progress-ai.co.jp confirmed by matching company name, phone 011-700-1500, and address. Contact form available at /contact.html. No public email published on the site.",https://www.progress-ai.co.jp/contact.html,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-007/progress-ai-contact.txt,agent_contact_form_found
company-16438781,合同会社 ドリームヒルズ,,,,080-5425-7282,,,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300935%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300935%2C1+++++,01-ユ-300935,有料職業紹介事業,北海道,全行业,recruitment_agency,low,MHLW license only; no headhunting/executive-search signals on any public source,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Company established Aug 2024, no public website found. Extensive search across Google, Yahoo Japan, gBizINFO, SalesNow, alarmbox, 企業INDEXナビ confirmed no homepage, email, or contact form. MHLW page confirms identity via name, address, phone, and license number.",https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300935%2C1+++++,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-008/company-16438781-mhlw.txt,agent_not_found
company-93cb5d1c,公益社団法人北海道シルバー人材センター連合会,,,,011-223-2711,https://webc.sjc.ne.jp/doushiren/inquiry_1,https://webc.sjc.ne.jp/doushiren/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C1+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C1+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Silver Human Resources Center providing temporary/part-time senior citizen employment, not headhunting; exclusion signal: シルバー人材センター, dispatch/temp staffing",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Official site confirmed at webc.sjc.ne.jp/doushiren/ via Google search with matching phone and address. No public email found. Contact form available at inquiry_1 page. Organization is a public-interest foundation for senior part-time work placement, not a headhunter.",https://webc.sjc.ne.jp/doushiren/inquiry_1,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-009/company-93cb5d1c-contact.txt,agent_contact_form_found
company-5ebd40e9,公益社団法人北海道シルバー人材センター連合会,,,,011-614-2155,https://webc.sjc.ne.jp/doushiren/inquiry_1,https://webc.sjc.ne.jp/doushiren/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C2+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C2+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Silver Human Resources Center focused on temporary/part-time senior employment and worker dispatching (労働者派遣事業), not headhunting/executive search",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Confirmed exact company 公益社団法人北海道シルバー人材センター連合会 via official site webc.sjc.ne.jp/doushiren/. Company name, address, and phone match federation identity. No public email found; contact form available at inquiry_1 page.",https://webc.sjc.ne.jp/doushiren/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-010/company-5ebd40e9-candidate-site.txt,agent_contact_form_found
company-acdcf527,公益社団法人北海道シルバー人材センター連合会,,,,011-826-3279,https://webc.sjc.ne.jp/doushiren/inquiry_1,https://webc.sjc.ne.jp/doushiren/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C3+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C3+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Silver Human Resources Center: senior citizen temporary/light-work placement, not headhunting/executive search",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Official site confirmed at webc.sjc.ne.jp/doushiren/ via Google search. Contact form found on inquiry page. No public email published. MHLW license confirms senior-job placement only.,https://webc.sjc.ne.jp/doushiren/inquiry_1,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-011/company-acdcf527-inquiry.txt,agent_contact_form_found
company-75ac20a6,公益社団法人北海道シルバー人材センター連合会,,,,011-615-8228,https://webc.sjc.ne.jp/doushiren/inquiry_1,https://webc.sjc.ne.jp/doushiren/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C4+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C4+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,Silver Human Resources Center (シルバー人材センター) for temporary/light work for senior citizens; not headhunting,有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: No public email found. Official site (webc.sjc.ne.jp/doushiren/) confirmed company identity matching MHLW record. Contact form at /inquiry_1. Organization is senior citizen employment support, not headhunting/recruiting.",https://webc.sjc.ne.jp/doushiren/,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-012/company-75ac20a6-official-site.txt,agent_contact_form_found
company-21980394,公益社団法人北海道シルバー人材センター連合会,,,,0166-51-1600,https://webc.sjc.ne.jp/doushiren/inquiry_1,https://webc.sjc.ne.jp/doushiren/,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C5+++++,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-900001%2C5+++++,01-ユ-900001,有料職業紹介事業,北海道,全行业,recruitment_agency,exclude,"Silver HR Center focused on senior part-time/temporary staffing, not headhunting. MHLW page limits job seekers to elderly (高年齢者).",有料職業紹介事業; 厚生労働省,mhlw_verified,high,2026-05-22T11:37:50+08:00,"Contact phone sourced from MHLW public occupational placement business detail page.; Agent contact enrichment: Found official website at webc.sjc.ne.jp/doushiren/. Contact form at inquiry_1 page. Company is a Silver Human Resources Center providing temporary/light work for seniors, which is a non-headhunter vertical. No public email found on the site.",https://webc.sjc.ne.jp/doushiren/inquiry_1,/Users/frankqdwang/MLE/hunterdata/data/runs/20260522-113750/raw/agents/agent-013/company-21980394-doushiren-inquiry.txt,agent_contact_form_found
